population,price,income,employment,poverty,area,tract
3863,543300,88276,62.7,249,81,"Census Tract 1112.05, Los Angeles County, California"
4652,616100,116587,60.4,163,82,"Census Tract 1112.06, Los Angeles County, California"
7600,567100,65581,70.6,815,83,"Census Tract 1113.01, Los Angeles County, California"
4762,580300,80353,62.6,460,84,"Census Tract 1113.02, Los Angeles County, California"
8049,534300,72736,62.6,648,85,"Census Tract 1114, Los Angeles County, California"
3861,660400,111862,49.1,154,86,"Census Tract 1131.01, Los Angeles County, California"
2945,892700,143453,57.7,113,87,"Census Tract 1131.02, Los Angeles County, California"
4085,467400,126032,67.7,119,88,"Census Tract 1132.11, Los Angeles County, California"
3181,507600,94504,65.5,73,89,"Census Tract 1132.12, Los Angeles County, California"
4552,462800,86476,68.4,250,90,"Census Tract 1132.13, Los Angeles County, California"
2171,674500,98702,59.7,58,91,"Census Tract 1132.31, Los Angeles County, California"
4132,672200,102878,67,108,92,"Census Tract 1132.32, Los Angeles County, California"
6895,336400,50468,70.8,680,93,"Census Tract 1132.33, Los Angeles County, California"
4742,250000,63773,64.2,662,94,"Census Tract 1132.34, Los Angeles County, California"
1637,290200,78295,65.5,96,95,"Census Tract 1132.35, Los Angeles County, California"
3847,711800,113766,63.9,171,96,"Census Tract 1132.37, Los Angeles County, California"
2313,794900,130915,57.7,45,97,"Census Tract 1133.01, Los Angeles County, California"
4299,489500,99566,65.2,94,98,"Census Tract 1133.03, Los Angeles County, California"
5868,392400,65428,75.4,432,99,"Census Tract 1133.21, Los Angeles County, California"
4152,595000,101646,64.9,190,100,"Census Tract 1133.22, Los Angeles County, California"
5265,505400,76724,66.4,318,101,"Census Tract 1134.01, Los Angeles County, California"
6571,386500,53409,73.4,920,102,"Census Tract 1134.21, Los Angeles County, California"
6571,377400,71657,70.5,401,103,"Census Tract 1134.22, Los Angeles County, California"
5252,786000,144930,59.8,64,104,"Census Tract 1151.01, Los Angeles County, California"
2294,0,79247,45.4,52,105,"Census Tract 1151.03, Los Angeles County, California"
3732,548000,57609,64.6,675,106,"Census Tract 1151.04, Los Angeles County, California"
7023,638100,64736,64,1030,107,"Census Tract 1152.01, Los Angeles County, California"
4969,500300,60264,70.4,704,108,"Census Tract 1152.02, Los Angeles County, California"
3914,586200,78445,65,420,109,"Census Tract 1153.01, Los Angeles County, California"
4007,559600,56444,71.5,577,110,"Census Tract 1153.02, Los Angeles County, California"
5964,644400,75419,65.7,666,111,"Census Tract 1154.01, Los Angeles County, California"
3536,494500,60400,65.7,433,112,"Census Tract 1154.03, Los Angeles County, California"
2889,442000,64375,59.8,442,113,"Census Tract 1154.04, Los Angeles County, California"
5124,395000,86682,70.7,342,114,"Census Tract 1171.01, Los Angeles County, California"
2687,387700,73290,69.4,92,115,"Census Tract 1171.02, Los Angeles County, California"
5052,521800,52832,60,843,116,"Census Tract 1172.01, Los Angeles County, California"
2514,489800,107048,67.5,56,117,"Census Tract 1172.02, Los Angeles County, California"
4154,481200,96126,71,132,118,"Census Tract 1173.01, Los Angeles County, California"
5107,565200,95104,63.5,177,119,"Census Tract 1173.02, Los Angeles County, California"
3603,479400,88667,70,128,120,"Census Tract 1173.03, Los Angeles County, California"
4124,526300,85881,66.8,172,121,"Census Tract 1174.04, Los Angeles County, California"
3801,275600,38291,65.4,845,122,"Census Tract 1174.05, Los Angeles County, California"
3484,346300,34651,71,659,123,"Census Tract 1174.07, Los Angeles County, California"
3269,246900,39604,77.5,726,124,"Census Tract 1174.08, Los Angeles County, California"
3931,387500,42959,72.3,612,125,"Census Tract 1175.10, Los Angeles County, California"
3633,343200,51781,68.3,722,126,"Census Tract 1175.20, Los Angeles County, California"
5626,361400,50667,70.4,918,127,"Census Tract 1175.30, Los Angeles County, California"
3849,463100,68353,67.6,174,128,"Census Tract 1190.01, Los Angeles County, California"
6998,444500,65387,57.7,746,129,"Census Tract 1190.02, Los Angeles County, California"
4064,401100,71002,67.1,196,130,"Census Tract 1192.01, Los Angeles County, California"
4270,385700,67335,62.7,388,131,"Census Tract 1192.02, Los Angeles County, California"
3803,305600,63795,68.4,268,132,"Census Tract 1193.10, Los Angeles County, California"
4683,340000,52031,68.1,761,133,"Census Tract 1193.20, Los Angeles County, California"
3981,312500,39804,73.1,687,134,"Census Tract 1193.40, Los Angeles County, California"
2549,393400,53943,59.6,168,135,"Census Tract 1193.41, Los Angeles County, California"
3511,272100,55356,70.1,518,136,"Census Tract 1193.42, Los Angeles County, California"
5415,423600,79700,68.5,506,137,"Census Tract 1194, Los Angeles County, California"
4562,487900,78741,62.2,445,138,"Census Tract 1197, Los Angeles County, California"
6099,451900,76561,70.5,265,139,"Census Tract 1198, Los Angeles County, California"
5051,404900,73807,66.1,185,140,"Census Tract 1199, Los Angeles County, California"
