population,price,income,employment,poverty,area,tract
2192,371200,29457,56.2,228,598,"Census Tract 2121.02, Los Angeles County, California"
3515,0,34478,74.6,785,599,"Census Tract 2122.02, Los Angeles County, California"
2930,0,29715,70.9,356,600,"Census Tract 2122.03, Los Angeles County, California"
3837,0,33773,76.5,693,601,"Census Tract 2122.04, Los Angeles County, California"
3187,0,48883,80.7,576,602,"Census Tract 2123.03, Los Angeles County, California"
1912,0,30821,80.4,302,603,"Census Tract 2123.04, Los Angeles County, California"
2999,0,34563,76.9,415,604,"Census Tract 2123.05, Los Angeles County, California"
3378,592600,37846,75.9,506,605,"Census Tract 2123.06, Los Angeles County, California"
4160,796900,42299,74,730,606,"Census Tract 2124.10, Los Angeles County, California"
3250,0,36985,69.3,543,607,"Census Tract 2124.20, Los Angeles County, California"
2154,508300,43557,78.4,258,608,"Census Tract 2125.01, Los Angeles County, California"
2963,600000,63903,68.7,304,609,"Census Tract 2125.02, Los Angeles County, California"
4156,821600,60852,72.3,549,610,"Census Tract 2126.10, Los Angeles County, California"
4576,718000,43770,73.1,643,611,"Census Tract 2126.20, Los Angeles County, California"
2390,731400,60863,60.1,149,612,"Census Tract 2127.01, Los Angeles County, California"
3733,646200,116853,70.5,190,613,"Census Tract 2127.02, Los Angeles County, California"
3715,666700,63006,64.8,603,614,"Census Tract 2128, Los Angeles County, California"
4312,735600,41096,65.2,692,615,"Census Tract 2129, Los Angeles County, California"
3073,666700,59249,62.1,426,616,"Census Tract 2131, Los Angeles County, California"
4293,567900,37888,65.3,624,617,"Census Tract 2132.01, Los Angeles County, California"
3935,559700,37919,70.2,636,618,"Census Tract 2132.02, Los Angeles County, California"
3696,518800,39450,63.8,397,619,"Census Tract 2133.10, Los Angeles County, California"
2179,0,30066,61.8,347,620,"Census Tract 2133.20, Los Angeles County, California"
5496,691500,37864,80.3,624,621,"Census Tract 2134.01, Los Angeles County, California"
4632,"1,000,000+",39727,75.6,473,622,"Census Tract 2134.02, Los Angeles County, California"
3579,"1,000,000+",143674,71.2,82,623,"Census Tract 2140, Los Angeles County, California"
4042,"1,000,000+",165114,71.1,90,624,"Census Tract 2141, Los Angeles County, California"
2987,"1,000,000+",90248,87.8,397,625,"Census Tract 2144, Los Angeles County, California"
2792,0,103102,77.6,223,626,"Census Tract 2145.01, Los Angeles County, California"
5137,0,76066,65.8,1161,627,"Census Tract 2145.02, Los Angeles County, California"
3419,983200,101093,75.1,186,628,"Census Tract 2145.03, Los Angeles County, California"
2389,"1,000,000+",124199,76.5,191,629,"Census Tract 2146, Los Angeles County, California"
2523,"1,000,000+",129986,77.1,100,630,"Census Tract 2147, Los Angeles County, California"
2822,628900,131535,78.1,164,631,"Census Tract 2148, Los Angeles County, California"
2755,654000,90280,80.5,293,632,"Census Tract 2149.01, Los Angeles County, California"
2607,0,90363,80.2,269,633,"Census Tract 2149.02, Los Angeles County, California"
2370,0,66424,89.4,197,634,"Census Tract 2151.01, Los Angeles County, California"
3271,929800,73334,87,464,635,"Census Tract 2151.02, Los Angeles County, California"
2537,849300,125981,69.4,99,636,"Census Tract 2161, Los Angeles County, California"
4880,"1,000,000+",116955,82.8,452,637,"Census Tract 2162, Los Angeles County, California"
4807,616900,113572,73.2,318,638,"Census Tract 2163, Los Angeles County, California"
4856,540300,80555,75.1,349,639,"Census Tract 2164.01, Los Angeles County, California"
2788,646100,79971,72.8,257,640,"Census Tract 2164.02, Los Angeles County, California"
4044,"1,000,000+",84732,74.1,238,641,"Census Tract 2167, Los Angeles County, California"
3473,707200,133425,75.3,295,642,"Census Tract 2168, Los Angeles County, California"
4855,960200,84717,73.2,282,643,"Census Tract 2169, Los Angeles County, California"
2612,805900,111437,67.5,88,644,"Census Tract 2170.01, Los Angeles County, California"
5119,508900,84062,70.7,267,645,"Census Tract 2170.02, Los Angeles County, California"
5607,770200,76138,81.5,597,646,"Census Tract 2171, Los Angeles County, California"
3891,538400,81790,74.8,295,647,"Census Tract 2172, Los Angeles County, California"
3584,537300,59378,68.5,278,648,"Census Tract 2181.10, Los Angeles County, California"
4842,466500,38922,70.2,1078,649,"Census Tract 2181.20, Los Angeles County, California"
3911,486400,37120,65.1,441,650,"Census Tract 2182.10, Los Angeles County, California"
4591,566300,66305,57.1,579,651,"Census Tract 2182.20, Los Angeles County, California"
5475,469100,47398,65.4,764,652,"Census Tract 2183, Los Angeles County, California"
4162,343100,40999,58.9,633,653,"Census Tract 2184, Los Angeles County, California"
3167,454700,49062,69.2,382,654,"Census Tract 2185, Los Angeles County, California"
3640,733300,51943,59.5,599,655,"Census Tract 2186, Los Angeles County, California"
2099,391700,59223,66.9,274,656,"Census Tract 2187.01, Los Angeles County, California"
2305,674300,45578,58.6,489,657,"Census Tract 2187.02, Los Angeles County, California"
2565,607700,54146,74.5,346,658,"Census Tract 2188, Los Angeles County, California"
5469,406000,44539,60.2,771,659,"Census Tract 2189, Los Angeles County, California"
2652,397500,47700,65.9,299,660,"Census Tract 2190.10, Los Angeles County, California"
3920,403400,46987,67.9,480,661,"Census Tract 2190.20, Los Angeles County, California"
4274,433700,46631,54.7,702,662,"Census Tract 2193, Los Angeles County, California"
1817,388000,88872,67.4,73,663,"Census Tract 2195, Los Angeles County, California"
4304,452400,55378,76.1,341,664,"Census Tract 2197, Los Angeles County, California"
3033,410600,40647,70.1,403,665,"Census Tract 2198, Los Angeles County, California"
4698,452600,34034,67.4,704,666,"Census Tract 2199.01, Los Angeles County, California"
4017,438400,49590,70,313,667,"Census Tract 2199.02, Los Angeles County, California"
5614,509500,45900,66.2,770,668,"Census Tract 2200, Los Angeles County, California"
2113,566000,46043,58.4,385,669,"Census Tract 2201, Los Angeles County, California"
3607,453500,39862,70,641,670,"Census Tract 2211.10, Los Angeles County, California"
3349,493800,42472,72.9,463,671,"Census Tract 2211.20, Los Angeles County, California"
3133,532700,44938,71.5,517,672,"Census Tract 2212.10, Los Angeles County, California"
3530,608400,38432,75.6,483,673,"Census Tract 2212.20, Los Angeles County, California"
4848,767600,38408,69.8,1085,674,"Census Tract 2213.02, Los Angeles County, California"
2702,392900,39476,67,548,675,"Census Tract 2213.03, Los Angeles County, California"
3732,552600,35026,70.4,607,676,"Census Tract 2213.04, Los Angeles County, California"
3317,649700,35972,51.5,500,677,"Census Tract 2214.01, Los Angeles County, California"
3162,564800,56302,62.3,555,678,"Census Tract 2214.02, Los Angeles County, California"
3402,559600,38488,53.6,767,679,"Census Tract 2215, Los Angeles County, California"
3604,528800,56624,68.9,520,680,"Census Tract 2216.01, Los Angeles County, California"
3011,569900,40915,64.4,662,681,"Census Tract 2216.02, Los Angeles County, California"
2849,547800,34621,55,854,682,"Census Tract 2217.10, Los Angeles County, California"
2826,500000,25106,45.2,1196,683,"Census Tract 2218.10, Los Angeles County, California"
3298,338900,27867,52.6,1788,684,"Census Tract 2218.20, Los Angeles County, California"
4003,488500,23473,43.2,1138,685,"Census Tract 2219, Los Angeles County, California"
3128,346900,64593,63.5,275,686,"Census Tract 2220.01, Los Angeles County, California"
4622,337300,47670,65.9,222,687,"Census Tract 2220.02, Los Angeles County, California"
3795,478300,58710,69.2,450,688,"Census Tract 2221, Los Angeles County, California"
4216,444200,44372,66.1,745,689,"Census Tract 2222, Los Angeles County, California"
5115,277100,45006,67.2,710,690,"Census Tract 2225, Los Angeles County, California"
5245,0,37413,55.8,1377,691,"Census Tract 2226, Los Angeles County, California"
3682,"1,000,000+",22103,28.7,368,692,"Census Tract 2227, Los Angeles County, California"
2209,292200,27004,56.1,551,693,"Census Tract 2240.10, Los Angeles County, California"
2584,525000,33591,66.1,554,694,"Census Tract 2240.20, Los Angeles County, California"
2493,413600,40968,66.4,318,695,"Census Tract 2242, Los Angeles County, California"
2248,591500,35939,74.7,387,696,"Census Tract 2243.10, Los Angeles County, California"
2998,408800,29399,66,743,697,"Census Tract 2243.20, Los Angeles County, California"
3381,368800,38781,59,902,698,"Census Tract 2244.10, Los Angeles County, California"
2146,397400,26629,57.8,605,699,"Census Tract 2244.20, Los Angeles County, California"
3569,0,41022,61.2,811,700,"Census Tract 2246, Los Angeles County, California"
5981,503600,20449,37.8,1517,701,"Census Tract 2247, Los Angeles County, California"
1988,423600,37128,62.8,341,702,"Census Tract 2260.01, Los Angeles County, California"
1429,361100,47166,71.9,438,703,"Census Tract 2260.02, Los Angeles County, California"
3479,312300,35909,59.7,763,704,"Census Tract 2264.10, Los Angeles County, California"
5576,416200,32951,62.8,1264,705,"Census Tract 2264.20, Los Angeles County, California"
5862,393500,36395,60.7,1320,706,"Census Tract 2267, Los Angeles County, California"
4862,425400,36834,60.9,988,707,"Census Tract 2270.10, Los Angeles County, California"
3238,404200,36984,66.3,694,708,"Census Tract 2270.20, Los Angeles County, California"
4575,346900,35808,60.4,934,709,"Census Tract 2281, Los Angeles County, California"
3557,428700,37781,60.6,672,710,"Census Tract 2282.10, Los Angeles County, California"
3944,370200,39383,61.2,797,711,"Census Tract 2282.20, Los Angeles County, California"
3958,360200,42213,54.8,815,712,"Census Tract 2283.10, Los Angeles County, California"
3455,398400,35887,57.2,600,713,"Census Tract 2283.20, Los Angeles County, California"
3689,320900,45367,57.6,589,714,"Census Tract 2284.10, Los Angeles County, California"
2940,404500,42809,65.6,614,715,"Census Tract 2284.20, Los Angeles County, California"
4762,388300,39286,64.4,878,716,"Census Tract 2285, Los Angeles County, California"
4704,345100,34570,61.1,1203,717,"Census Tract 2286, Los Angeles County, California"
4256,348200,36072,64.5,1173,718,"Census Tract 2287.10, Los Angeles County, California"
4538,393700,42607,62.5,738,719,"Census Tract 2287.20, Los Angeles County, California"
5365,341500,33253,59.6,1051,720,"Census Tract 2288, Los Angeles County, California"
3193,357200,28232,50.4,705,721,"Census Tract 2289, Los Angeles County, California"
4326,331300,51453,67.4,786,722,"Census Tract 2291, Los Angeles County, California"
3795,470100,33698,56.9,821,723,"Census Tract 2292, Los Angeles County, California"
5798,298600,33427,61.4,1450,724,"Census Tract 2293, Los Angeles County, California"
3207,384400,46095,62.1,690,725,"Census Tract 2294.10, Los Angeles County, California"
4553,450000,45645,61,683,726,"Census Tract 2294.20, Los Angeles County, California"
2894,358600,39303,47.1,1033,727,"Census Tract 2311, Los Angeles County, California"
3543,315900,34544,68.3,678,728,"Census Tract 2312.10, Los Angeles County, California"
4240,397300,32483,60.8,876,729,"Census Tract 2312.20, Los Angeles County, California"
4925,419200,41008,57.6,884,730,"Census Tract 2313, Los Angeles County, California"
4799,382900,43616,63.4,560,731,"Census Tract 2314, Los Angeles County, California"
4371,447300,47334,63.4,460,732,"Census Tract 2315, Los Angeles County, California"
7636,325000,45982,61,1325,733,"Census Tract 2316, Los Angeles County, California"
4744,329500,30448,63.1,1077,734,"Census Tract 2317.10, Los Angeles County, California"
4780,436000,33517,64.3,1062,735,"Census Tract 2317.20, Los Angeles County, California"
4937,365300,31859,65.8,1291,736,"Census Tract 2318, Los Angeles County, California"
5697,336400,37582,63.4,1365,737,"Census Tract 2319, Los Angeles County, California"
2686,443300,33411,63.5,588,738,"Census Tract 2321.10, Los Angeles County, California"
5254,334300,35732,62.5,1062,739,"Census Tract 2321.20, Los Angeles County, California"
3006,328600,38576,64.1,713,740,"Census Tract 2322, Los Angeles County, California"
3614,361500,44025,59,488,741,"Census Tract 2323, Los Angeles County, California"
6904,403100,42550,60.6,1096,742,"Census Tract 2324, Los Angeles County, California"
5056,354500,38332,58.4,1009,743,"Census Tract 2325, Los Angeles County, California"
6040,351100,42249,59.1,1030,744,"Census Tract 2326, Los Angeles County, California"
6068,373900,38232,63,914,745,"Census Tract 2327, Los Angeles County, California"
4206,448700,38450,59.3,739,746,"Census Tract 2328, Los Angeles County, California"
5855,466100,59141,63.1,601,747,"Census Tract 2340, Los Angeles County, California"
2542,445000,71379,49,232,748,"Census Tract 2342, Los Angeles County, California"
4297,336200,46382,56.6,732,749,"Census Tract 2343, Los Angeles County, California"
2577,386500,51744,64.8,369,750,"Census Tract 2345.01, Los Angeles County, California"
2232,426100,45637,61.4,174,751,"Census Tract 2345.02, Los Angeles County, California"
5005,383300,63829,68.7,820,752,"Census Tract 2346, Los Angeles County, California"
3899,329900,46039,55.1,449,753,"Census Tract 2347, Los Angeles County, California"
3460,287200,56990,63.5,312,754,"Census Tract 2348, Los Angeles County, California"
3061,409400,28885,51.1,626,755,"Census Tract 2349.01, Los Angeles County, California"
3771,474200,42739,55.9,654,756,"Census Tract 2349.02, Los Angeles County, California"
4752,416900,77207,67.7,292,757,"Census Tract 2351, Los Angeles County, California"
2711,401300,48227,66.2,458,758,"Census Tract 2352.01, Los Angeles County, California"
4127,516200,34493,55.1,807,759,"Census Tract 2352.02, Los Angeles County, California"
4240,576900,81295,61,117,760,"Census Tract 2360, Los Angeles County, California"
5268,0,39020,56.3,958,761,"Census Tract 2361, Los Angeles County, California"
5238,0,29449,54.9,1315,762,"Census Tract 2362.02, Los Angeles County, California"
3799,0,40730,66.9,454,763,"Census Tract 2362.03, Los Angeles County, California"
3444,669400,31679,65.2,817,764,"Census Tract 2362.04, Los Angeles County, California"
4440,355500,72349,63.5,315,765,"Census Tract 2364, Los Angeles County, California"
3890,346900,43315,65.2,779,766,"Census Tract 2371.01, Los Angeles County, California"
2885,345100,36130,57,587,767,"Census Tract 2371.02, Los Angeles County, California"
3694,403500,41509,60.8,668,768,"Census Tract 2372.01, Los Angeles County, California"
4720,347800,47243,65.3,608,769,"Census Tract 2372.02, Los Angeles County, California"
4961,325400,47729,63.3,471,770,"Census Tract 2373, Los Angeles County, California"
3482,241400,44047,64.6,301,771,"Census Tract 2374.01, Los Angeles County, California"
3404,406000,45753,53.2,293,772,"Census Tract 2374.02, Los Angeles County, California"
2574,387500,41886,62,382,773,"Census Tract 2375, Los Angeles County, California"
3892,404800,37223,59.7,607,774,"Census Tract 2376, Los Angeles County, California"
3466,207300,39339,63.6,768,775,"Census Tract 2377.10, Los Angeles County, California"
3389,401200,32261,55,665,776,"Census Tract 2377.20, Los Angeles County, California"
4646,385100,51171,50.7,546,777,"Census Tract 2378, Los Angeles County, California"
3738,351900,53231,53.4,468,778,"Census Tract 2379, Los Angeles County, California"
5704,386400,60580,58.6,524,779,"Census Tract 2380, Los Angeles County, California"
5066,378300,56131,65,506,780,"Census Tract 2381, Los Angeles County, California"
5233,441300,43019,59.2,436,781,"Census Tract 2382, Los Angeles County, California"
4566,331500,31188,60.9,1076,782,"Census Tract 2383.10, Los Angeles County, California"
3237,389600,33962,57.8,780,783,"Census Tract 2383.20, Los Angeles County, California"
4588,407300,56781,58.4,492,784,"Census Tract 2384, Los Angeles County, California"
3200,400000,32402,57.1,641,785,"Census Tract 2392.01, Los Angeles County, California"
4967,371800,42870,57.5,730,786,"Census Tract 2392.02, Los Angeles County, California"
4166,330700,41480,64.3,629,787,"Census Tract 2393.10, Los Angeles County, California"
3442,272300,38967,61.1,677,788,"Census Tract 2393.20, Los Angeles County, California"
2963,369000,46491,60.4,491,789,"Census Tract 2393.30, Los Angeles County, California"
3425,339100,38322,59.1,623,790,"Census Tract 2395.01, Los Angeles County, California"
3385,363100,39441,58.9,710,791,"Census Tract 2395.02, Los Angeles County, California"
3511,225600,33908,50.4,818,792,"Census Tract 2396.01, Los Angeles County, California"
3586,298500,39272,61,756,793,"Census Tract 2396.02, Los Angeles County, California"
4712,370900,34485,60.4,1026,794,"Census Tract 2397.01, Los Angeles County, California"
3732,357900,35379,53,742,795,"Census Tract 2397.02, Los Angeles County, California"
3631,344500,34583,61.7,780,796,"Census Tract 2398.01, Los Angeles County, California"
4340,371200,41479,61.9,823,797,"Census Tract 2398.02, Los Angeles County, California"
3809,332500,32038,55.1,700,798,"Census Tract 2400.10, Los Angeles County, California"
5697,388100,48661,54.4,680,799,"Census Tract 2400.20, Los Angeles County, California"
5450,353500,38983,57.5,997,800,"Census Tract 2402, Los Angeles County, California"
4558,344600,39351,54.1,831,801,"Census Tract 2403, Los Angeles County, California"
4616,295900,47631,66.1,688,802,"Census Tract 2404.01, Los Angeles County, California"
3862,345900,33091,52.7,653,803,"Census Tract 2404.02, Los Angeles County, California"
5676,396200,38293,62.6,950,804,"Census Tract 2405, Los Angeles County, California"
4166,321100,38690,64.7,536,805,"Census Tract 2406, Los Angeles County, California"
6113,325800,38921,51.5,893,806,"Census Tract 2407, Los Angeles County, California"
4992,317800,42481,55.7,1035,807,"Census Tract 2408, Los Angeles County, California"
5509,405700,45498,61.4,779,808,"Census Tract 2409, Los Angeles County, California"
3918,346200,38632,65.8,958,809,"Census Tract 2410.01, Los Angeles County, California"
4231,284800,48807,62.6,586,810,"Census Tract 2410.02, Los Angeles County, California"
2729,346500,35715,58.9,524,811,"Census Tract 2411.10, Los Angeles County, California"
4913,283700,36660,53.3,950,812,"Census Tract 2411.20, Los Angeles County, California"
2614,338800,39193,61,361,813,"Census Tract 2412.01, Los Angeles County, California"
4994,434200,40235,53.2,726,814,"Census Tract 2412.02, Los Angeles County, California"
2131,318300,46142,56.1,357,815,"Census Tract 2413, Los Angeles County, California"
3363,355800,38610,58,461,816,"Census Tract 2414, Los Angeles County, California"
3713,0,41980,55.7,504,817,"Census Tract 2420, Los Angeles County, California"
2714,319700,21545,35.1,709,818,"Census Tract 2421, Los Angeles County, California"
6195,329900,41880,56.6,912,819,"Census Tract 2422, Los Angeles County, California"
5025,344600,48748,62.2,767,820,"Census Tract 2423, Los Angeles County, California"
4627,352700,22709,43.7,1126,821,"Census Tract 2426, Los Angeles County, California"
4662,338500,35140,57.8,641,822,"Census Tract 2427, Los Angeles County, California"
5830,264500,43783,52.7,780,823,"Census Tract 2430, Los Angeles County, California"
6531,"1,000,000+",39572,51.3,1274,824,"Census Tract 2431, Los Angeles County, California"
3839,"1,000,000+",265838,64,119,825,"Census Tract 2611.01, Los Angeles County, California"
4283,"1,000,000+",329240,56.8,192,826,"Census Tract 2611.02, Los Angeles County, California"
3980,"1,000,000+",238059,66,103,827,"Census Tract 2612, Los Angeles County, California"
3159,"1,000,000+",351248,55.8,47,828,"Census Tract 2621, Los Angeles County, California"
4550,"1,000,000+",256874,60.9,69,829,"Census Tract 2622, Los Angeles County, California"
2940,"1,000,000+",240982,54.1,36,830,"Census Tract 2623.01, Los Angeles County, California"
2960,"1,000,000+",307322,62.7,23,831,"Census Tract 2623.02, Los Angeles County, California"
3092,"1,000,000+",380794,48.1,68,832,"Census Tract 2623.03, Los Angeles County, California"
3225,"1,000,000+",339418,51.8,62,833,"Census Tract 2624, Los Angeles County, California"
3472,"1,000,000+",281590,59.5,101,834,"Census Tract 2625.01, Los Angeles County, California"
3890,"1,000,000+",332987,64.2,149,835,"Census Tract 2626.01, Los Angeles County, California"
5936,"1,000,000+",229612,57.6,152,836,"Census Tract 2626.04, Los Angeles County, California"
3373,"1,000,000+",201420,67.4,106,837,"Census Tract 2627.04, Los Angeles County, California"
3443,"1,000,000+",268399,54.1,66,838,"Census Tract 2627.06, Los Angeles County, California"
3542,"1,000,000+",315911,63.2,43,839,"Census Tract 2628.02, Los Angeles County, California"
3249,639600,321641,61.4,192,840,"Census Tract 2640, Los Angeles County, California"
2974,647100,117434,76.2,212,841,"Census Tract 2641.02, Los Angeles County, California"
2178,789300,131497,79.5,154,842,"Census Tract 2641.03, Los Angeles County, California"
4831,936700,121862,84.5,372,843,"Census Tract 2643.01, Los Angeles County, California"
5499,"1,000,000+",135177,77.6,466,844,"Census Tract 2643.02, Los Angeles County, California"
2536,"1,000,000+",212482,50,119,845,"Census Tract 2651, Los Angeles County, California"
3077,680900,189966,52.6,234,846,"Census Tract 2652.01, Los Angeles County, California"
3809,0,121556,57.6,820,847,"Census Tract 2652.02, Los Angeles County, California"
11298,377100,0,34.1,0,848,"Census Tract 2653.01, Los Angeles County, California"
4926,"1,000,000+",40232,56.9,3301,849,"Census Tract 2653.03, Los Angeles County, California"
3612,440300,26549,57.4,2164,850,"Census Tract 2653.04, Los Angeles County, California"
4644,"1,000,000+",46973,49.6,2439,851,"Census Tract 2653.05, Los Angeles County, California"
1466,"1,000,000+",138408,71.3,26,852,"Census Tract 2654.10, Los Angeles County, California"
1833,622500,206481,60.9,252,853,"Census Tract 2654.20, Los Angeles County, California"
3871,739200,91768,64.2,1395,854,"Census Tract 2655.10, Los Angeles County, California"
4374,869300,104447,71.3,643,855,"Census Tract 2655.20, Los Angeles County, California"
2832,943500,113006,67,93,856,"Census Tract 2656.01, Los Angeles County, California"
3066,"1,000,000+",186501,58.8,238,857,"Census Tract 2656.02, Los Angeles County, California"
5207,857000,126674,71,248,858,"Census Tract 2657, Los Angeles County, California"
6234,717300,128550,66.8,601,859,"Census Tract 2671, Los Angeles County, California"
5187,569900,105238,70.9,378,860,"Census Tract 2672, Los Angeles County, California"
4455,629200,76126,74.1,601,861,"Census Tract 2673, Los Angeles County, California"
4530,686900,92843,79.7,370,862,"Census Tract 2674.02, Los Angeles County, California"
3002,610600,78588,71.6,419,863,"Census Tract 2674.03, Los Angeles County, California"
2838,628000,111056,79.8,293,864,"Census Tract 2674.04, Los Angeles County, California"
5950,630300,82778,83.7,677,865,"Census Tract 2675.01, Los Angeles County, California"
3095,683100,83242,77.9,124,866,"Census Tract 2675.02, Los Angeles County, California"
2954,601300,97061,78.1,172,867,"Census Tract 2676, Los Angeles County, California"
3415,932200,88147,80.9,189,868,"Census Tract 2677, Los Angeles County, California"
2928,903000,136434,69.7,86,869,"Census Tract 2678, Los Angeles County, California"
2352,845700,168569,50.3,46,870,"Census Tract 2679.01, Los Angeles County, California"
3458,"1,000,000+",133301,69,213,871,"Census Tract 2679.02, Los Angeles County, California"
5455,832700,194315,59.9,259,872,"Census Tract 2690, Los Angeles County, California"
4422,"1,000,000+",104467,71.3,287,873,"Census Tract 2691, Los Angeles County, California"
4342,"1,000,000+",197964,65.3,98,874,"Census Tract 2693, Los Angeles County, California"
3758,610800,213573,60.7,134,875,"Census Tract 2695, Los Angeles County, California"
2910,895200,63653,70.1,413,876,"Census Tract 2696.01, Los Angeles County, California"
3263,660200,64741,71.6,411,877,"Census Tract 2696.02, Los Angeles County, California"
3724,701200,86357,73.3,268,878,"Census Tract 2697, Los Angeles County, California"
3561,474300,72068,71.6,276,879,"Census Tract 2698, Los Angeles County, California"
3869,497700,57114,74.9,415,880,"Census Tract 2699.03, Los Angeles County, California"
3822,0,56483,77.3,753,881,"Census Tract 2699.04, Los Angeles County, California"
3116,421400,74272,79.2,284,882,"Census Tract 2699.05, Los Angeles County, California"
2894,519400,75107,81.5,357,883,"Census Tract 2699.06, Los Angeles County, California"
2790,461000,61872,81.4,410,884,"Census Tract 2699.07, Los Angeles County, California"
4610,575700,63019,80.8,605,885,"Census Tract 2701, Los Angeles County, California"
4090,657100,65079,65.4,596,886,"Census Tract 2702, Los Angeles County, California"
2330,837800,87657,69,264,887,"Census Tract 2703, Los Angeles County, California"
2413,648000,105370,63.5,258,888,"Census Tract 2711, Los Angeles County, California"
2604,746400,69280,77,286,889,"Census Tract 2712, Los Angeles County, California"
4645,855600,94206,68.1,325,890,"Census Tract 2713, Los Angeles County, California"
3636,879800,153988,63.1,230,891,"Census Tract 2714, Los Angeles County, California"
3064,992700,121157,64.7,75,892,"Census Tract 2715, Los Angeles County, California"
4655,831200,105653,65.6,428,893,"Census Tract 2716, Los Angeles County, California"
5917,691300,91837,73,521,894,"Census Tract 2717.01, Los Angeles County, California"
4449,701000,71135,65,777,895,"Census Tract 2717.02, Los Angeles County, California"
3804,659800,66411,69.1,775,896,"Census Tract 2718.01, Los Angeles County, California"
6547,783800,66043,76.5,873,897,"Census Tract 2718.02, Los Angeles County, California"
3487,928700,96022,66.8,294,898,"Census Tract 2719.01, Los Angeles County, California"
4184,756200,101875,72.5,286,899,"Census Tract 2719.02, Los Angeles County, California"
4240,599700,108589,67.8,274,900,"Census Tract 2721, Los Angeles County, California"
2288,581500,72733,75.4,175,901,"Census Tract 2722.01, Los Angeles County, California"
3683,776400,64571,76,394,902,"Census Tract 2722.02, Los Angeles County, California"
3159,693300,100448,71.3,254,903,"Census Tract 2723.01, Los Angeles County, California"
4141,866000,55618,70.7,419,904,"Census Tract 2723.02, Los Angeles County, California"
2047,"1,000,000+",111651,67.9,155,905,"Census Tract 2731, Los Angeles County, California"
3625,960900,108225,79.5,328,906,"Census Tract 2732, Los Angeles County, California"
3779,970800,111158,79.2,307,907,"Census Tract 2733, Los Angeles County, California"
2774,"1,000,000+",96921,82.5,244,908,"Census Tract 2734.02, Los Angeles County, California"
2860,"1,000,000+",83352,88.4,288,909,"Census Tract 2735.02, Los Angeles County, California"
2318,961300,155090,78,232,910,"Census Tract 2736, Los Angeles County, California"
2799,945000,112692,73,259,911,"Census Tract 2737, Los Angeles County, California"
3234,"1,000,000+",107807,79,312,912,"Census Tract 2738, Los Angeles County, California"
3852,939600,145844,84,351,913,"Census Tract 2739.02, Los Angeles County, California"
4507,"1,000,000+",152119,77.2,347,914,"Census Tract 2741, Los Angeles County, California"
3847,704000,167763,65.4,172,915,"Census Tract 2742.02, Los Angeles County, California"
1301,635100,92294,72.7,20,916,"Census Tract 2751.01, Los Angeles County, California"
4225,597600,87537,76.1,185,917,"Census Tract 2751.02, Los Angeles County, California"
4518,696600,64087,73.3,626,918,"Census Tract 2752, Los Angeles County, California"
4978,706500,111815,60.8,500,919,"Census Tract 2753.02, Los Angeles County, California"
5933,740900,92294,71.5,218,920,"Census Tract 2753.11, Los Angeles County, California"
3240,616500,120850,80.2,181,921,"Census Tract 2754, Los Angeles County, California"
5296,675900,54826,64.4,695,922,"Census Tract 2755, Los Angeles County, California"
7393,623400,128983,77.1,581,923,"Census Tract 2756.02, Los Angeles County, California"
2893,708400,79981,64.9,147,924,"Census Tract 2756.03, Los Angeles County, California"
5620,489500,116891,66.3,186,925,"Census Tract 2760, Los Angeles County, California"
6013,796000,67492,81.1,710,926,"Census Tract 2761, Los Angeles County, California"
4325,771300,127940,65.3,467,927,"Census Tract 2764, Los Angeles County, California"
5084,968900,120762,50.9,73,928,"Census Tract 2765, Los Angeles County, California"
3726,477500,160157,71.1,256,929,"Census Tract 2766.01, Los Angeles County, California"
5645,497100,92178,84.4,449,930,"Census Tract 2766.03, Los Angeles County, California"
4160,851000,82214,69.6,483,931,"Census Tract 2766.04, Los Angeles County, California"
5526,630400,157690,61.4,184,932,"Census Tract 2770, Los Angeles County, California"
3067,282900,100919,71.3,199,933,"Census Tract 2771, Los Angeles County, California"
2453,500000,66619,77.9,150,934,"Census Tract 2772, Los Angeles County, California"
1578,677200,47059,73.1,228,935,"Census Tract 2774, Los Angeles County, California"
2311,"1,000,000+",83169,68.8,161,936,"Census Tract 2780.01, Los Angeles County, California"
2998,442000,149491,77.6,160,937,"Census Tract 2781.02, Los Angeles County, California"
3268,396200,58518,64.9,498,938,"Census Tract 2911.10, Los Angeles County, California"
2137,411100,41342,57.2,311,939,"Census Tract 2911.20, Los Angeles County, California"
3573,429400,59239,66.1,336,940,"Census Tract 2911.30, Los Angeles County, California"
5566,471600,64048,55.9,694,941,"Census Tract 2912.10, Los Angeles County, California"
3321,494000,54859,62.9,355,942,"Census Tract 2912.20, Los Angeles County, California"
2357,452200,72104,54.9,77,943,"Census Tract 2913, Los Angeles County, California"
6800,452700,50955,70.6,864,944,"Census Tract 2920, Los Angeles County, California"
6215,469100,69483,68.4,358,945,"Census Tract 2932.01, Los Angeles County, California"
6185,496200,50154,69.7,1068,946,"Census Tract 2932.02, Los Angeles County, California"
2850,530900,83324,66.5,127,947,"Census Tract 2933.01, Los Angeles County, California"
5207,476800,89964,72.2,166,948,"Census Tract 2933.02, Los Angeles County, California"
4431,505100,57749,72.4,478,949,"Census Tract 2933.04, Los Angeles County, California"
2361,339300,86947,68.8,123,950,"Census Tract 2933.06, Los Angeles County, California"
