GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1580000US0644000037107020,0644000037107020,"Census Tract 1070.20, Los Angeles County (part), Los Angeles city, California",5404
1580000US0644000037108101,0644000037108101,"Census Tract 1081.01, Los Angeles County (part), Los Angeles city, California",2230
1580000US0644000037108102,0644000037108102,"Census Tract 1081.02, Los Angeles County (part), Los Angeles city, California",3430
1580000US0644000037108103,0644000037108103,"Census Tract 1081.03, Los Angeles County (part), Los Angeles city, California",3256
1580000US0644000037108104,0644000037108104,"Census Tract 1081.04, Los Angeles County (part), Los Angeles city, California",1698
1580000US0644000037108201,0644000037108201,"Census Tract 1082.01, Los Angeles County (part), Los Angeles city, California",5551
1580000US0644000037108202,0644000037108202,"Census Tract 1082.02, Los Angeles County (part), Los Angeles city, California",4895
1580000US0644000037109100,0644000037109100,"Census Tract 1091, Los Angeles County (part), Los Angeles city, California",2492
1580000US0644000037109200,0644000037109200,"Census Tract 1092, Los Angeles County (part), Los Angeles city, California",2669
1580000US0644000037109300,0644000037109300,"Census Tract 1093, Los Angeles County (part), Los Angeles city, California",3085
1580000US0644000037109400,0644000037109400,"Census Tract 1094, Los Angeles County (part), Los Angeles city, California",3720
1580000US0644000037109500,0644000037109500,"Census Tract 1095, Los Angeles County (part), Los Angeles city, California",4303
1580000US0644000037109601,0644000037109601,"Census Tract 1096.01, Los Angeles County (part), Los Angeles city, California",5020
1580000US0644000037109603,0644000037109603,"Census Tract 1096.03, Los Angeles County (part), Los Angeles city, California",4252
1580000US0644000037109604,0644000037109604,"Census Tract 1096.04, Los Angeles County (part), Los Angeles city, California",2975
1580000US0644000037109700,0644000037109700,"Census Tract 1097, Los Angeles County (part), Los Angeles city, California",4493
1580000US0644000037109800,0644000037109800,"Census Tract 1098, Los Angeles County (part), Los Angeles city, California",4565
1580000US0644000037111100,0644000037111100,"Census Tract 1111, Los Angeles County (part), Los Angeles city, California",2982
1580000US0644000037111201,0644000037111201,"Census Tract 1112.01, Los Angeles County (part), Los Angeles city, California",3410
1580000US0644000037111202,0644000037111202,"Census Tract 1112.02, Los Angeles County (part), Los Angeles city, California",5213
1580000US0644000037111204,0644000037111204,"Census Tract 1112.04, Los Angeles County (part), Los Angeles city, California",5859
1580000US0644000037111205,0644000037111205,"Census Tract 1112.05, Los Angeles County (part), Los Angeles city, California",3375
1580000US0644000037111206,0644000037111206,"Census Tract 1112.06, Los Angeles County (part), Los Angeles city, California",4490
1580000US0644000037111301,0644000037111301,"Census Tract 1113.01, Los Angeles County (part), Los Angeles city, California",7087
1580000US0644000037111302,0644000037111302,"Census Tract 1113.02, Los Angeles County (part), Los Angeles city, California",4786
1580000US0644000037111400,0644000037111400,"Census Tract 1114, Los Angeles County (part), Los Angeles city, California",7560
