GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Per capita income in 1999
1580000US0644000037101110,0644000037101110,"Census Tract 1011.10, Los Angeles County (part), Los Angeles city, California",19620
1580000US0644000037101120,0644000037101120,"Census Tract 1011.20, Los Angeles County (part), Los Angeles city, California",28699
1580000US0644000037101210,0644000037101210,"Census Tract 1012.10, Los Angeles County (part), Los Angeles city, California",13147
1580000US0644000037101220,0644000037101220,"Census Tract 1012.20, Los Angeles County (part), Los Angeles city, California",14867
1580000US0644000037101300,0644000037101300,"Census Tract 1013, Los Angeles County (part), Los Angeles city, California",26042
1580000US0644000037101400,0644000037101400,"Census Tract 1014, Los Angeles County (part), Los Angeles city, California",24836
1580000US0644000037102101,0644000037102101,"Census Tract 1021.01, Los Angeles County (part), Los Angeles city, California",24363
1580000US0644000037102102,0644000037102102,"Census Tract 1021.02 (part), Los Angeles County (part), Los Angeles city, California",26043
1580000US0644000037103101,0644000037103101,"Census Tract 1031.01, Los Angeles County (part), Los Angeles city, California",24357
1580000US0644000037103102,0644000037103102,"Census Tract 1031.02, Los Angeles County (part), Los Angeles city, California",19158
1580000US0644000037103200,0644000037103200,"Census Tract 1032, Los Angeles County (part), Los Angeles city, California",24154
1580000US0644000037103300,0644000037103300,"Census Tract 1033, Los Angeles County (part), Los Angeles city, California",33236
1580000US0644000037103400,0644000037103400,"Census Tract 1034, Los Angeles County (part), Los Angeles city, California",22843
1580000US0644000037104103,0644000037104103,"Census Tract 1041.03, Los Angeles County (part), Los Angeles city, California",13730
1580000US0644000037104104,0644000037104104,"Census Tract 1041.04 (part), Los Angeles County (part), Los Angeles city, California",15221
1580000US0644000037104105,0644000037104105,"Census Tract 1041.05, Los Angeles County (part), Los Angeles city, California",10396
1580000US0644000037104106,0644000037104106,"Census Tract 1041.06, Los Angeles County (part), Los Angeles city, California",10689
1580000US0644000037104107,0644000037104107,"Census Tract 1041.07 (part), Los Angeles County (part), Los Angeles city, California",0
1580000US0644000037104201,0644000037104201,"Census Tract 1042.01, Los Angeles County (part), Los Angeles city, California",8956
1580000US0644000037104202,0644000037104202,"Census Tract 1042.02 (part), Los Angeles County (part), Los Angeles city, California",10127
1580000US0644000037104310,0644000037104310,"Census Tract 1043.10, Los Angeles County (part), Los Angeles city, California",7514
1580000US0644000037104320,0644000037104320,"Census Tract 1043.20, Los Angeles County (part), Los Angeles city, California",9087
1580000US0644000037104401,0644000037104401,"Census Tract 1044.01, Los Angeles County (part), Los Angeles city, California",9804
1580000US0644000037104402,0644000037104402,"Census Tract 1044.02, Los Angeles County (part), Los Angeles city, California",8209
1580000US0644000037104500,0644000037104500,"Census Tract 1045, Los Angeles County (part), Los Angeles city, California",8902
1580000US0644000037104610,0644000037104610,"Census Tract 1046.10, Los Angeles County (part), Los Angeles city, California",12943
1580000US0644000037104620,0644000037104620,"Census Tract 1046.20, Los Angeles County (part), Los Angeles city, California",9351
1580000US0644000037104701,0644000037104701,"Census Tract 1047.01, Los Angeles County (part), Los Angeles city, California",5693
