GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median value
1580000US0667000075020600,0667000075020600,"Census Tract 206, San Francisco County, San Francisco city, California",841800
1580000US0667000075020700,0667000075020700,"Census Tract 207, San Francisco County, San Francisco city, California",584500
1580000US0667000075020800,0667000075020800,"Census Tract 208, San Francisco County, San Francisco city, California",547600
1580000US0667000075020900,0667000075020900,"Census Tract 209, San Francisco County, San Francisco city, California",425000
1580000US0667000075021000,0667000075021000,"Census Tract 210, San Francisco County, San Francisco city, California",687500
1580000US0667000075021100,0667000075021100,"Census Tract 211, San Francisco County, San Francisco city, California",717800
1580000US0667000075021200,0667000075021200,"Census Tract 212, San Francisco County, San Francisco city, California",672200
1580000US0667000075021300,0667000075021300,"Census Tract 213, San Francisco County, San Francisco city, California",631800
1580000US0667000075021400,0667000075021400,"Census Tract 214, San Francisco County, San Francisco city, California",657600
1580000US0667000075021500,0667000075021500,"Census Tract 215, San Francisco County, San Francisco city, California",611000
1580000US0667000075021600,0667000075021600,"Census Tract 216, San Francisco County, San Francisco city, California",625400
1580000US0667000075021700,0667000075021700,"Census Tract 217, San Francisco County, San Francisco city, California",508300
1580000US0667000075021800,0667000075021800,"Census Tract 218, San Francisco County, San Francisco city, California",465000
1580000US0667000075022600,0667000075022600,"Census Tract 226, San Francisco County, San Francisco city, California",700000
1580000US0667000075022701,0667000075022701,"Census Tract 227.01, San Francisco County, San Francisco city, California",579400
1580000US0667000075022702,0667000075022702,"Census Tract 227.02, San Francisco County, San Francisco city, California",622000
1580000US0667000075022703,0667000075022703,"Census Tract 227.03, San Francisco County, San Francisco city, California",440500
1580000US0667000075022801,0667000075022801,"Census Tract 228.01, San Francisco County, San Francisco city, California",340300
1580000US0667000075022802,0667000075022802,"Census Tract 228.02, San Francisco County, San Francisco city, California",410000
1580000US0667000075022803,0667000075022803,"Census Tract 228.03, San Francisco County, San Francisco city, California",380000
1580000US0667000075022901,0667000075022901,"Census Tract 229.01, San Francisco County, San Francisco city, California",369700
1580000US0667000075022902,0667000075022902,"Census Tract 229.02, San Francisco County, San Francisco city, California",285600
1580000US0667000075022903,0667000075022903,"Census Tract 229.03, San Francisco County, San Francisco city, California",316000
1580000US0667000075023001,0667000075023001,"Census Tract 230.01, San Francisco County, San Francisco city, California",265900
1580000US0667000075023002,0667000075023002,"Census Tract 230.02, San Francisco County, San Francisco city, California",239200
1580000US0667000075023003,0667000075023003,"Census Tract 230.03, San Francisco County, San Francisco city, California",254400
1580000US0667000075023101,0667000075023101,"Census Tract 231.01, San Francisco County, San Francisco city, California",220100
1580000US0667000075023102,0667000075023102,"Census Tract 231.02, San Francisco County, San Francisco city, California",227000
1580000US0667000075023103,0667000075023103,"Census Tract 231.03, San Francisco County, San Francisco city, California",321100
1580000US0667000075023200,0667000075023200,"Census Tract 232, San Francisco County, San Francisco city, California",263100
1580000US0667000075023300,0667000075023300,"Census Tract 233, San Francisco County, San Francisco city, California",302500
1580000US0667000075023400,0667000075023400,"Census Tract 234, San Francisco County, San Francisco city, California",210400
1580000US0667000075025100,0667000075025100,"Census Tract 251, San Francisco County, San Francisco city, California",385900
1580000US0667000075025200,0667000075025200,"Census Tract 252, San Francisco County, San Francisco city, California",376600
1580000US0667000075025300,0667000075025300,"Census Tract 253, San Francisco County, San Francisco city, California",386500
1580000US0667000075025401,0667000075025401,"Census Tract 254.01, San Francisco County, San Francisco city, California",360800
1580000US0667000075025402,0667000075025402,"Census Tract 254.02, San Francisco County, San Francisco city, California",313700
1580000US0667000075025403,0667000075025403,"Census Tract 254.03, San Francisco County, San Francisco city, California",340000
1580000US0667000075025500,0667000075025500,"Census Tract 255, San Francisco County, San Francisco city, California",332200
1580000US0667000075025600,0667000075025600,"Census Tract 256, San Francisco County, San Francisco city, California",298100
1580000US0667000075025700,0667000075025700,"Census Tract 257, San Francisco County, San Francisco city, California",331400
1580000US0667000075025800,0667000075025800,"Census Tract 258, San Francisco County, San Francisco city, California",291700
1580000US0667000075025900,0667000075025900,"Census Tract 259, San Francisco County, San Francisco city, California",317600
1580000US0667000075026001,0667000075026001,"Census Tract 260.01, San Francisco County, San Francisco city, California",294400
1580000US0667000075026002,0667000075026002,"Census Tract 260.02, San Francisco County, San Francisco city, California",297600
