GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median value
1580000US0644000037109300,0644000037109300,"Census Tract 1093, Los Angeles County (part), Los Angeles city, California",182200
1580000US0644000037109400,0644000037109400,"Census Tract 1094, Los Angeles County (part), Los Angeles city, California",168800
1580000US0644000037109500,0644000037109500,"Census Tract 1095, Los Angeles County (part), Los Angeles city, California",145900
1580000US0644000037109601,0644000037109601,"Census Tract 1096.01, Los Angeles County (part), Los Angeles city, California",181700
1580000US0644000037109602,0644000037109602,"Census Tract 1096.02, Los Angeles County (part), Los Angeles city, California",182800
1580000US0644000037109700,0644000037109700,"Census Tract 1097, Los Angeles County (part), Los Angeles city, California",189900
1580000US0644000037109800,0644000037109800,"Census Tract 1098, Los Angeles County (part), Los Angeles city, California",186200
1580000US0644000037111100,0644000037111100,"Census Tract 1111, Los Angeles County (part), Los Angeles city, California",196300
1580000US0644000037111201,0644000037111201,"Census Tract 1112.01, Los Angeles County (part), Los Angeles city, California",256300
1580000US0644000037111202,0644000037111202,"Census Tract 1112.02, Los Angeles County (part), Los Angeles city, California",211400
1580000US0644000037111203,0644000037111203,"Census Tract 1112.03, Los Angeles County (part), Los Angeles city, California",272200
1580000US0644000037111204,0644000037111204,"Census Tract 1112.04, Los Angeles County (part), Los Angeles city, California",371500
1580000US0644000037111301,0644000037111301,"Census Tract 1113.01, Los Angeles County (part), Los Angeles city, California",212700
1580000US0644000037111302,0644000037111302,"Census Tract 1113.02, Los Angeles County (part), Los Angeles city, California",263300
1580000US0644000037111400,0644000037111400,"Census Tract 1114, Los Angeles County (part), Los Angeles city, California",220300
1580000US0644000037113100,0644000037113100,"Census Tract 1131, Los Angeles County (part), Los Angeles city, California",360300
1580000US0644000037113202,0644000037113202,"Census Tract 1132.02 (part), Los Angeles County (part), Los Angeles city, California",347600
1580000US0644000037113211,0644000037113211,"Census Tract 1132.11, Los Angeles County (part), Los Angeles city, California",218700
1580000US0644000037113212,0644000037113212,"Census Tract 1132.12, Los Angeles County (part), Los Angeles city, California",234500
1580000US0644000037113213,0644000037113213,"Census Tract 1132.13, Los Angeles County (part), Los Angeles city, California",233800
1580000US0644000037113231,0644000037113231,"Census Tract 1132.31 (part), Los Angeles County (part), Los Angeles city, California",291900
1580000US0644000037113232,0644000037113232,"Census Tract 1132.32, Los Angeles County (part), Los Angeles city, California",293200
1580000US0644000037113233,0644000037113233,"Census Tract 1132.33, Los Angeles County (part), Los Angeles city, California",190400
1580000US0644000037113234,0644000037113234,"Census Tract 1132.34, Los Angeles County (part), Los Angeles city, California",203700
1580000US0644000037113301,0644000037113301,"Census Tract 1133.01, Los Angeles County (part), Los Angeles city, California",413600
1580000US0644000037113303,0644000037113303,"Census Tract 1133.03, Los Angeles County (part), Los Angeles city, California",230800
